shelter,address,city,prov,postcode,full_address,gcode,lat,long
COSTI Reception Centre,100 Lippincott Street,Toronto,ON,M5S 2P1,"100 Lippincott Street,Toronto,ON,","100, Lippincott Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 1A4, Canada",43.65792664736842,-79.4071056368421
Christie Ossington Men's Hostel,973 Lansdowne Avenue,Toronto,ON,M6H 3Z5,"973 Lansdowne Avenue,Toronto,ON,","973, Lansdowne Avenue, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 3Z6, Canada",43.6658599,-79.44591857692308
Christie Refugee Welcome Centre,43 Christie Street,Toronto,ON,M6G 3B1,"43 Christie Street,Toronto,ON,","Christie Refuguee Welcome Centre, 43, Christie Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 3B1, Canada",43.6651723,-79.4188638
Birchmount Residence,1673 Kingston Road,Toronto,ON,,"1673 Kingston Road,Toronto,ON,","1673, Kingston Road, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1N 1S2, Canada",43.69158975850928,-79.26422630839728
Birkdale Residence,1229 Ellesmere Road,Toronto,ON,M1P 4V8,"1229 Ellesmere Road,Toronto,ON,","1229, Ellesmere Road, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1P 3S4, Canada",43.76859747692308,-79.26737473076923
Downsview Dells,1651 Sheppard Ave West,Toronto,ON,,"1651 Sheppard Ave West,Toronto,ON,","1651, Sheppard Avenue West, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M3L 1Y5, Canada",43.742472,-79.4965543
Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,"4222 Kingston Road,Toronto,ON,","Toronto Family Residence, 4222, Kingston Road, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1E 5B3, Canada",43.760735499999996,-79.19669993253612
Fort York Residence,38 Bathurst St,Toronto,ON,,"38 Bathurst St,Toronto,ON,","38, Bathurst Street, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2V5, Canada",43.641817,-79.401972
Robertson House,291 Sherbourne Street,Toronto,ON,M5A 2R9,"291 Sherbourne Street,Toronto,ON,","291, Sherbourne Street, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1Z9, Canada",43.6604847,-79.3717112
S2H Assessment and Referral Ctre,67 Adelaide Street East,Toronto,ON,,"67 Adelaide Street East,Toronto,ON,","67, Adelaide Street East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 2T6, Canada",43.65103583333333,-79.37515166666667
